genotype;treatment;molecule;time;avg;se
solist;C;hordenine;3;0.934;0.0574
solist;C;hordenine;27;0.451;0.042
solist;C;hordenine;51;0.3826;0.0367
solist;C;hordenine;75;0.2701;0.0282
solist;Fe;hordenine;3;1.0045;0.0347
solist;Fe;hordenine;27;0.5295;0.025
solist;Fe;hordenine;51;0.3778;0.012
solist;Fe;hordenine;75;0.4185;0.0362
solist;S;hordenine;3;0.8999;0.0314
solist;S;hordenine;27;0.6338;0.0439
solist;S;hordenine;51;0.4861;0.0333
solist;S;hordenine;75;0.4635;0.0351
solist;N;hordenine;3;1.2132;0.0774
solist;N;hordenine;27;0.7191;0.0348
solist;N;hordenine;51;0.6172;0.0779
solist;N;hordenine;75;0.8408;0.0581
solist;P;hordenine;3;1.0847;0.0601
solist;P;hordenine;27;0.5899;0.0265
solist;P;hordenine;51;0.4668;0.0313
solist;P;hordenine;75;0.2976;0.0182
solist;C;NMT;3;1.1679;0.0497
solist;C;NMT;27;0.6777;0.0518
solist;C;NMT;51;0.4892;0.0189
solist;C;NMT;75;0.3747;0.0293
solist;Fe;NMT;3;1.1329;0.0569
solist;Fe;NMT;27;0.5688;0.0418
solist;Fe;NMT;51;0.4886;0.0263
solist;Fe;NMT;75;0.5021;0.0177
solist;S;NMT;3;1.1589;0.0814
solist;S;NMT;27;0.9243;0.0472
solist;S;NMT;51;0.5697;0.0158
solist;S;NMT;75;0.5631;0.0285
solist;N;NMT;3;1.3447;0.0421
solist;N;NMT;27;0.7473;0.0381
solist;N;NMT;51;0.6007;0.0631
solist;N;NMT;75;0.9451;0.061
solist;P;NMT;3;1.2668;0.0477
solist;P;NMT;27;0.7435;0.0244
solist;P;NMT;51;0.6636;0.0224
solist;P;NMT;75;0.4299;0.0156
solist;C;tyramine;3;0.1252;0.0123
solist;C;tyramine;27;0.0558;6.74E-03
solist;C;tyramine;51;0.0459;7.69E-03
solist;C;tyramine;75;0.024;2.06E-03
solist;Fe;tyramine;3;0.1298;0.013
solist;Fe;tyramine;27;0.0496;6.67E-03
solist;Fe;tyramine;51;0.0253;3.17E-03
solist;Fe;tyramine;75;0.041;4.47E-03
solist;S;tyramine;3;0.1228;0.0136
solist;S;tyramine;27;0.0708;7.36E-03
solist;S;tyramine;51;0.0396;5.87E-03
solist;S;tyramine;75;0.0367;4.17E-03
solist;N;tyramine;3;0.1466;5.65E-03
solist;N;tyramine;27;0.0589;6.25E-03
solist;N;tyramine;51;0.0391;6.35E-03
solist;N;tyramine;75;0.0415;2.85E-03
solist;P;tyramine;3;0.1269;9.20E-03
solist;P;tyramine;27;0.0734;8.03E-03
solist;P;tyramine;51;0.0944;0.0157
solist;P;tyramine;75;0.0335;4.04E-03