ID;genotype;replica;treatment;compound;area
Fe33;solist;1;Fe;hordenine;2.38E+07
Fe33;solist;1;Fe;N-methyl-aminomethylindole (MAMI);4.35E+07
Fe33;solist;1;Fe;N-Methyltyramine;8708008
Fe33;solist;1;Fe;candicine;2746342
Fe33;solist;1;Fe;tyramine;223337
Fe33;solist;1;Fe;triptofano;1
Fe33;solist;2;Fe;hordenine;2.39E+07
Fe33;solist;2;Fe;N-methyl-aminomethylindole (MAMI);4.35E+07
Fe33;solist;2;Fe;N-Methyltyramine;7815432
Fe33;solist;2;Fe;candicine;2828503
Fe33;solist;2;Fe;tyramine;232936
Fe33;solist;2;Fe;triptofano;1
Fe35;solist;1;Fe;hordenine;2.93E+07
Fe35;solist;1;Fe;N-methyl-aminomethylindole (MAMI);2.92E+07
Fe35;solist;1;Fe;N-Methyltyramine;8990468
Fe35;solist;1;Fe;candicine;4055168
Fe35;solist;1;Fe;tyramine;140980
Fe35;solist;1;Fe;triptofano;1
Fe35;solist;2;Fe;hordenine;3.05E+07
Fe35;solist;2;Fe;N-methyl-aminomethylindole (MAMI);2.95E+07
Fe35;solist;2;Fe;N-Methyltyramine;9312385
Fe35;solist;2;Fe;candicine;3992239
Fe35;solist;2;Fe;tyramine;1
Fe35;solist;2;Fe;triptofano;1
Fe37;solist;1;Fe;hordenine;2.87E+07
Fe37;solist;1;Fe;N-methyl-aminomethylindole (MAMI);7.88E+07
Fe37;solist;1;Fe;N-Methyltyramine;1.00E+07
Fe37;solist;1;Fe;candicine;4334773
Fe37;solist;1;Fe;tyramine;266299
Fe37;solist;1;Fe;triptofano;1
Fe37;solist;2;Fe;hordenine;2.77E+07
Fe37;solist;2;Fe;N-methyl-aminomethylindole (MAMI);7.85E+07
Fe37;solist;2;Fe;N-Methyltyramine;9276236
Fe37;solist;2;Fe;candicine;4235740
Fe37;solist;2;Fe;tyramine;272427
Fe37;solist;2;Fe;triptofano;1
N32;solist;1;N;hordenine;2.83E+07
N32;solist;1;N;N-methyl-aminomethylindole (MAMI);7525795
N32;solist;1;N;N-Methyltyramine;1.11E+07
N32;solist;1;N;candicine;9884625
N32;solist;1;N;tyramine;272934
N32;solist;1;N;triptofano;3385295
N32;solist;2;N;hordenine;2.71E+07
N32;solist;2;N;N-methyl-aminomethylindole (MAMI);7461987
N32;solist;2;N;N-Methyltyramine;8407285
N32;solist;2;N;candicine;9885486
N32;solist;2;N;tyramine;1
N32;solist;2;N;triptofano;3062053
N33;solist;1;N;hordenine;3.08E+07
N33;solist;1;N;N-methyl-aminomethylindole (MAMI);1.86E+07
N33;solist;1;N;N-Methyltyramine;1.07E+07
N33;solist;1;N;candicine;7159454
N33;solist;1;N;tyramine;1
N33;solist;1;N;triptofano;1
N33;solist;2;N;hordenine;2.86E+07
N33;solist;2;N;N-methyl-aminomethylindole (MAMI);1.85E+07
N33;solist;2;N;N-Methyltyramine;8761068
N33;solist;2;N;candicine;7019336
N33;solist;2;N;tyramine;1
N33;solist;2;N;triptofano;1
N34;solist;1;N;hordenine;5.59E+07
N34;solist;1;N;N-methyl-aminomethylindole (MAMI);2.18E+07
N34;solist;1;N;N-Methyltyramine;1.88E+07
N34;solist;1;N;candicine;5162922
N34;solist;1;N;tyramine;1
N34;solist;1;N;triptofano;1
N34;solist;2;N;hordenine;5.57E+07
N34;solist;2;N;N-methyl-aminomethylindole (MAMI);2.18E+07
N34;solist;2;N;N-Methyltyramine;1.99E+07
N34;solist;2;N;candicine;5101211
N34;solist;2;N;tyramine;1
N34;solist;2;N;triptofano;1
P31;solist;1;P;hordenine;4.55E+07
P31;solist;1;P;N-methyl-aminomethylindole (MAMI);1.76E+07
P31;solist;1;P;N-Methyltyramine;1.45E+07
P31;solist;1;P;candicine;3148440
P31;solist;1;P;tyramine;325534
P31;solist;1;P;triptofano;2308853
P31;solist;2;P;hordenine;4.42E+07
P31;solist;2;P;N-methyl-aminomethylindole (MAMI);1.75E+07
P31;solist;2;P;N-Methyltyramine;1.26E+07
P31;solist;2;P;candicine;3130776
P31;solist;2;P;tyramine;307336
P31;solist;2;P;triptofano;2241953
P34;solist;1;P;hordenine;3.86E+07
P34;solist;1;P;N-methyl-aminomethylindole (MAMI);5998760
P34;solist;1;P;N-Methyltyramine;1.27E+07
P34;solist;1;P;candicine;2610585
P34;solist;1;P;tyramine;1
P34;solist;1;P;triptofano;1
P34;solist;2;P;hordenine;4.02E+07
P34;solist;2;P;N-methyl-aminomethylindole (MAMI);5977453
P34;solist;2;P;N-Methyltyramine;1.49E+07
P34;solist;2;P;candicine;2553926
P34;solist;2;P;tyramine;1
P34;solist;2;P;triptofano;1
P40;solist;1;P;hordenine;2.76E+07
P40;solist;1;P;N-methyl-aminomethylindole (MAMI);1291285
P40;solist;1;P;N-Methyltyramine;9603035
P40;solist;1;P;candicine;1
P40;solist;1;P;tyramine;1
P40;solist;1;P;triptofano;1
P40;solist;2;P;hordenine;2.76E+07
P40;solist;2;P;N-methyl-aminomethylindole (MAMI);1277661
P40;solist;2;P;N-Methyltyramine;1.07E+07
P40;solist;2;P;candicine;1
P40;solist;2;P;tyramine;1
P40;solist;2;P;triptofano;1
S31;solist;1;S;hordenine;2.20E+07
S31;solist;1;S;N-methyl-aminomethylindole (MAMI);3.03E+07
S31;solist;1;S;N-Methyltyramine;8351247
S31;solist;1;S;candicine;4088996
S31;solist;1;S;tyramine;432961
S31;solist;1;S;triptofano;1
S31;solist;2;S;hordenine;2.18E+07
S31;solist;2;S;N-methyl-aminomethylindole (MAMI);3.00E+07
S31;solist;2;S;N-Methyltyramine;8502861
S31;solist;2;S;candicine;4001522
S31;solist;2;S;tyramine;407248
S31;solist;2;S;triptofano;1
S35;solist;1;S;hordenine;2.46E+07
S35;solist;1;S;N-methyl-aminomethylindole (MAMI);1.16E+07
S35;solist;1;S;N-Methyltyramine;7426748
S35;solist;1;S;candicine;3157550
S35;solist;1;S;tyramine;1
S35;solist;1;S;triptofano;1
S35;solist;2;S;hordenine;2.51E+07
S35;solist;2;S;N-methyl-aminomethylindole (MAMI);1.16E+07
S35;solist;2;S;N-Methyltyramine;8239795
S35;solist;2;S;candicine;3213531
S35;solist;2;S;tyramine;1
S35;solist;2;S;triptofano;1
S40;solist;1;S;hordenine;2.66E+07
S40;solist;1;S;N-methyl-aminomethylindole (MAMI);8862103
S40;solist;1;S;N-Methyltyramine;1.03E+07
S40;solist;1;S;candicine;3912319
S40;solist;1;S;tyramine;1
S40;solist;1;S;triptofano;1
S40;solist;2;S;hordenine;2.70E+07
S40;solist;2;S;N-methyl-aminomethylindole (MAMI);9077597
S40;solist;2;S;N-Methyltyramine;9776974
S40;solist;2;S;candicine;4005210
S40;solist;2;S;tyramine;1
S40;solist;2;S;triptofano;1
C33;solist;1;C;hordenine;1.80E+07
C33;solist;1;C;N-methyl-aminomethylindole (MAMI);2.78E+07
C33;solist;1;C;N-Methyltyramine;6970902
C33;solist;1;C;candicine;1149186
C33;solist;1;C;tyramine;1
C33;solist;1;C;triptofano;1
C33;solist;2;C;hordenine;1.84E+07
C33;solist;2;C;N-methyl-aminomethylindole (MAMI);2.78E+07
C33;solist;2;C;N-Methyltyramine;8094216
C33;solist;2;C;candicine;2483801
C33;solist;2;C;tyramine;1
C33;solist;2;C;triptofano;1
C34;solist;1;C;hordenine;2.46E+07
C34;solist;1;C;N-methyl-aminomethylindole (MAMI);1.23E+07
C34;solist;1;C;N-Methyltyramine;8337287
C34;solist;1;C;candicine;4822914
C34;solist;1;C;tyramine;1
C34;solist;1;C;triptofano;1
C34;solist;2;C;hordenine;2.48E+07
C34;solist;2;C;N-methyl-aminomethylindole (MAMI);1.23E+07
C34;solist;2;C;N-Methyltyramine;9146281
C34;solist;2;C;candicine;4760888
C34;solist;2;C;tyramine;1
C34;solist;2;C;triptofano;1
C37;solist;1;C;hordenine;1.77E+07
C37;solist;1;C;N-methyl-aminomethylindole (MAMI);1.69E+07
C37;solist;1;C;N-Methyltyramine;3108755
C37;solist;1;C;candicine;4956237
C37;solist;1;C;tyramine;1
C37;solist;1;C;triptofano;1
C37;solist;2;C;hordenine;1.75E+07
C37;solist;2;C;N-methyl-aminomethylindole (MAMI);1.68E+07
C37;solist;2;C;N-Methyltyramine;3165525
C37;solist;2;C;candicine;4924294
C37;solist;2;C;tyramine;1
C37;solist;2;C;triptofano;1